,bron_naam,type_bron,MWcapaciteit,capfactor,volfactor,status,Brontemperatuur,Uitkoppel_min,Uitkoppel_max,Productiekosten,targetGMC,xcor,ycor
426,Rodruza Steenfabriek de Zandberg,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6891083351788893,0.40297510933421316
427,Rodruza Steenfabriek Rossum BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5239874292620583,0.3791710793604501
428,Romi Smilfood BV Heerenveen,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.680885000649446,0.7970361974671486
429,Rosier Nederland BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.1145551341245076,0.1729794305063799
430,Rouveen Kaasspecialiteiten,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7420655445468068,0.6831977201892688
431,Royal Taste Company,Industrie,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5253415028478501,0.5153557258322117
432,RWE Eemshaven Holding BV,Kolen,1332.54,,,Optie C,70.0,220.25454545454545,250.0,2.0090909090909093,,0.9090197748129402,0.9873925757234585
433,RZB Holding BV,Industrie,0.0,,,Optie B,80.0,200.0,200.0,2.0,,0.28205327597145047,0.41620140283494617
434,SABA Dinxperlo BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.8235191564561621,0.4050629506773463
435,SABIC Innovative Plastics BV,Industrie,13.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.23762749090951865,0.27720658128522335
436,SACHEM Europe BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5038284685747091,0.38072129331190757
437,Saint Gobain Construction Products,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.3295257266014138,0.296518289127316
438,Salzgitter Mannesmann Seamless Tubes BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6122304269878134,0.26072813681398593
439,Sapa Aluminium BV Hoogezand,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.8800022821556218,0.885431375975788
440,Sapa Profiles NL BV Drunen,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.4743507430413211,0.3418669946987818
441,Sappi Maastricht BV,Industrie,56.25,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6185824013930724,0.0357821974748365
442,SCA Hygiene Products Suameer BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6926989123277303,0.8900160512790346
443,Scania Production Zwolle BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7113136205548788,0.6437958992017985
444,Scheepswerf De Hoop BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7223439952705982,0.40222638897893476
445,Schur Verpakkingen BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7915691055554578,0.8829576303085687
446,Schut Flexible Packaging,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.33468337767538464,0.2969437733820777
447,Seasun,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.15650479024163486,0.25988706328713135
448,Shell Nederland Chemie BV Moerdijk,Industrie,535.25,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.3193397460880702,0.3413095773417683
449,Shell Nederland Chemie BV Pernis,Industrie,6.03,,,Optie B,80.0,200.0,200.0,2.0,,0.2686722903680364,0.41383320364952814
450,Shell Nederland Raffinaderij BV,Raffinaderij,354.63,,,Optie B,80.0,200.0,200.0,2.0,,0.2608711529397811,0.41253036426479256
451,Simadan vh Greenmills,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.38705863968761084,0.6011485238989362
452,Sime Darby Unimills BV,Industrie,5.28,,,Optie B,80.0,200.0,200.0,2.0,,0.34046481545741686,0.3850750856862137
453,Simrax BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.711549442359146,0.047283465663628496
454,Sita Recycling Services Rotterdam,AVI,0.0,,,Optie B,80.0,500.0,500.0,2.0,,0.285058102187112,0.4144664825403363
455,Sita ReEnergy Roosendaal BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.2874049094973185,0.2901822018916781
