gemeente,Age0to9,Age10to19,Age20to29,Age30to39,Age40to49,Age50to59,Age60to69,Age70to79,Age80to89,Age90to99,Age100plus
Gilze en Rijen,983.2343422584407,1116.6313829787227,1494.740275650842,1335.768353726365,1582.813412887823,1553.764272559849,1750.5536007292567,1888.6908571428573,2231.383908045975,2261.7766016713117,2441.186890243903
Goeree-Overflakkee,953.7328007101638,1287.8498113207545,1490.0261990950262,1469.504428044282,1484.4263204485144,1585.2264909248056,1916.5470671712376,1942.811071428571,1871.0119302949054,1954.0583537082323,2185.620640937281
Goes,911.8587939698509,1127.7459422283391,1325.9188204357595,1264.1590320765335,1347.9638951071427,1359.7383688228072,1484.3332616487412,1445.8029593094907,1708.8833116036526,1681.3230679156904,1684.0092362344599
Goirle,1180.9414965986398,1109.0166972477077,1452.076470588236,1360.1410272277235,1545.7773747841056,1882.5848190644338,1826.2459944751372,1584.3196629213487,2081.9504531722064,2090.377586206895,2382.5954545454556
Gooise Meren,1006.4762439807375,1032.0047169811328,993.6503033645836,1127.0408135283328,1430.8439963751653,1337.3549076517302,1425.3985154256645,1447.4636574074098,1955.3264446620967,1970.9186813186816,1987.6418063314713
Gorinchem,943.4079037800688,1194.0239076669427,1186.5303508771854,1113.4019839142113,1187.8832435666986,1199.1286230248327,1248.6221586263046,1361.4386543535531,1699.474013157894,1837.1830409356714,1587.7196145905025
Gouda,837.9323613766755,1023.2844865258562,1151.649681528668,1108.6175969880571,1227.8863737998179,1324.3226622662419,1169.3918068763755,1308.4202995008282,1482.447567075941,1407.4639093782926,1564.456922620811
Grave,841.0954285714298,1214.824451410658,1477.0055045871552,1462.4738066095463,1560.9153219233983,1644.5929020664937,1756.6681347150256,1947.1679104477607,2584.8578124999995,2686.4327868852456,2385.4498644986443
Groningen,748.5050706920224,1086.0678715308736,1174.7362032248325,1134.7606365400052,1253.1288887401913,1324.1167167039507,1212.6319454718423,1236.838873572271,1391.4099201939557,1515.8005228398545,1465.0586559702465
Gulpen-Wittem,962.8307692307689,1155.5064593301422,1603.9281833616324,1435.6501632208933,1916.377034883717,1855.3191528545121,2027.0323397913533,2585.8465517241384,2215.845486111111,2281.2725055432393,2523.5355507088343
Haaksbergen,1126.9014311270107,1377.536289381566,1409.0425914817067,1549.8870565045981,1613.81022908896,1566.4669421487495,1681.7580171358597,1555.1869090909083,2148.1028639618125,2216.0196141479096,2375.253543307086
Haaren,981.3175332527213,1451.209139784947,1600.0284313725488,1821.6053388090363,2244.790112994349,2356.5534482758626,2210.751089588379,2182.3328671328663,2397.4328947368413,2488.8879518072285,2984.1273408239736
Haarlem,785.7108028807792,873.4109647058797,975.0436706689536,1019.8904424778584,1201.6408037653773,1166.62935483872,1198.2099642789854,1277.5844011142076,1493.016656918945,1461.3876536495147,1464.7501605651803
Haarlemmermeer,885.0166902404507,1113.9976197494461,1113.9481840430772,1167.16726274509,1370.2480794303951,1489.5450556983624,1477.112152420179,1643.5070229007606,1804.735232668569,1834.9349326599329,1923.0968813559352
Halderberge,1044.041656942826,1232.2600646725934,1589.3261106780997,1518.6181564245778,1703.5268383598818,2018.583220174584,1839.8851291184326,1860.7048309178751,2223.9012820512817,2127.9862337662344,2271.4337704918025
Hardenberg,1042.7543088490436,1248.5629843643767,1451.015022354697,1454.55533917559,1668.2380315130567,1670.3610780319761,1937.393084522502,2259.208731082653,2443.269849246231,2576.7612524461847,2793.39390048154
Harderwijk,1003.6933192686369,1046.5331082905755,1180.0056964494734,1195.619746434233,1330.2324185248765,1459.9894716981262,1560.9750462107252,1431.4910179640724,2038.4847117794495,1903.020652173915,1585.4685185185208
Hardinxveld-Giessendam,992.6969642857125,966.4321964529365,1369.591098748261,1307.2649336283205,1407.7483540599837,1327.3632530120508,1457.6926108374375,1633.5088757396438,1744.0082004555813,1831.6649681528668,1872.6259426847655
Harlingen,870.9262019230742,1169.570270270267,1602.4033536585382,1191.014733178658,1472.295480225991,1469.172021857925,1512.4335714285767,1291.9392638036834,1683.4527777777778,1718.3196296296312,2153.664399092968
Hattem,1178.655172413793,1377.300000000002,1357.0479674796752,1491.8625441696117,1773.8288050314468,1568.5521126760593,1777.5929230769211,1989.808571428571,2446.6456621004572,1920.3178694158075,2200.5619047619043
Heemskerk,833.8018181818173,1009.8537513997709,1083.9093012275698,1213.304208754204,1276.8493073755044,1291.8163043478355,1326.560000000002,1726.943023255813,1755.432994923857,1817.774698795181,1894.2671755725196
