gemeente,Age0to9,Age10to19,Age20to29,Age30to39,Age40to49,Age50to59,Age60to69,Age70to79,Age80to89,Age90to99,Age100plus
Noordoostpolder,3280.8270399692638,3310.628071580053,3603.8509818529374,2988.3077077426374,3184.000910911661,3010.8208334805645,3707.5765587448277,3629.452904163404,3629.452904163404,3629.452904163404,4216.32
Noordwijk,3074.492039002549,2911.2155780933076,2799.463196768627,2721.2618312756854,2873.1041618755285,2722.930149480961,2912.9190474066,2929.1839898989874,2994.006591687049,3170.363078730907,3154.287016538045
Nuenen Gerwen en Nederwetten,3081.4781641443574,3299.6712186666578,3656.406960881586,3346.2320239418937,3563.2184120735883,3371.1899415304824,3494.9269763313614,3567.344352941178,3757.473857923498,3607.48347826087,3929.6997160493825
Nunspeet,3298.8597442347977,3545.586982007566,3443.2687017543794,3319.716956599267,3372.94456709762,3348.994726044216,3343.012335863379,3402.528536679533,3725.1468157248114,3801.1225769230787,3815.4955845824393
Oegstgeest,3146.85310930441,2954.2029378357634,3168.721168316813,2935.2887382550134,2798.725115384623,2747.040272820506,2848.328585575855,2922.477315436247,3316.886814558049,3323.6190317002834,3496.263561128518
Oirschot,3599.000102400012,3574.042360750369,3332.786587102966,3367.773816409405,3547.468466501266,3514.1331042944475,3649.873430463573,3797.735752577318,3961.985976095608,4007.3229999999985,3735.917990082628
Oisterwijk,3104.5944902912565,3104.680160268718,3228.3214021317754,3037.2915463002105,3367.910967758218,3414.4810081477804,3425.2110036451777,3023.364104100939,3521.4346348314643,3424.9128187772967,3775.51737602179
Oldambt,3420.003398584903,3192.4259836363763,3260.9754896285795,2821.09219345742,3084.318760413547,2803.3083222354376,2885.140401189677,3255.7587110694117,3345.8501783295865,3591.519017676762,3756.299979558885
Oldebroek,3406.3886515353906,4002.3613078470567,4202.080569821906,4065.8200168918834,4036.5085194805047,4041.7493602014893,3924.6731802575105,4475.1225624999925,3995.1362211981555,4300.7169968454255,4315.807351351355
Oldenzaal,3376.041978221429,3339.172739965091,3488.082800787814,3339.6846214833745,3282.061803156689,3074.69618860425,3028.827999999972,2616.6034944444423,3369.1309282178154,3303.1324697406253,3309.322545045048
Olst-Wijhe,3425.744855421676,3528.893273134324,3616.0345131086096,3299.9898788235328,3396.047889062499,3021.5048475046074,3384.8648126272947,3355.4019044586,3670.5481191860454,3520.988170018288,3889.064675475658
Ommen,3708.2925616197253,3625.208303401339,3358.082748922409,3232.7690665961886,3336.052871504137,3222.702060461401,3511.2262360139885,3757.169625954188,3978.447353356885,4081.820297071119,3989.1407202970313
Oost Gelre,3551.4520389104964,3596.7794409135954,3379.5868525872497,3203.1973889151814,3318.7761321514868,3218.791053313373,3412.5248841519833,3383.3205558912396,3749.9000259740237,3931.3052781818087,3894.977051612906
Oosterhout,3105.804853123229,3228.0559546149743,3007.199070111754,3013.5355768369336,3216.3456326084092,2872.3145032029274,3090.738023255778,3268.9463197674377,3413.235865060241,3359.5513218673186,3568.794006361313
Ooststellingwerf,3447.2592083333307,3150.6423524475435,3334.881765809571,3018.342621835415,3069.6963568722185,3129.3295033783647,3213.102962558468,3409.0515076923007,3589.863921052633,3624.3716693363463,3787.711397887318
Oostzaan,3144.0082162162057,3447.599563636356,3221.3422357414433,3000.4312771084387,3204.741310119716,3072.7863360000106,3060.6327150837874,3089.7670588235305,3209.5751578947356,3429.654222222223,3446.297674418605
Opmeer,3586.864788888878,3400.2677159763252,3397.5952357836363,3152.934064579258,3262.3849943955015,3206.7760924499285,3417.8416835443004,3554.0717936507967,3989.7795466666685,3782.4760275229387,4250.672559550553
Opsterland,2934.337108433756,3677.6776604057113,3409.490840596341,3300.5029038461366,3313.460890595015,3421.9515726600725,3383.8279092009525,3728.9947632653084,3914.561068006166,4098.879106861635,4111.84520807666
Oss,3194.6871484375347,3418.3635218902014,3389.3847049024394,3095.097264475954,3249.7345620301526,3139.310688934991,3151.3905051437227,3063.850688871475,3573.1731992797036,3615.674658682637,4079.615552238817
Oude IJsselstreek,3040.945058125719,3324.972373529375,3398.8244393102987,3132.813053930854,3380.2008107033926,3240.718828238778,3376.6174344951673,3500.0563787375577,3918.1521365853564,4002.043895627629,4049.6370614555226
